"diff_id","del","ins","mod","total","dummy"
"298",0,1,0,1,"dummy"
"299",13,0,1,14,"dummy"
"300",10,2,1,13,"dummy"
"301",7,9,4,20,"dummy"
"302",0,2,0,2,"dummy"
"303",2,1,3,6,"dummy"
"304",0,0,3,3,"dummy"
"305",1,2,0,3,"dummy"
"306",2,11,0,13,"dummy"
"307",6,1,3,10,"dummy"
"308",0,2,0,2,"dummy"
"309",5,6,3,14,"dummy"
"310",16,1,4,21,"dummy"
"311",0,0,0,0,"dummy"
"313",0,2,2,4,"dummy"
"314",0,0,0,0,"dummy"
"315",0,0,2,2,"dummy"
"316",0,0,2,2,"dummy"
"317",0,0,2,2,"dummy"
"326",0,0,4,4,"dummy"
"327",0,0,2,2,"dummy"
"329",0,0,0,0,"dummy"
"330",4,0,0,4,"dummy"
"334",0,1,0,1,"dummy"
"339",1,2,0,3,"dummy"
"341",0,0,0,0,"dummy"
"342",0,0,0,0,"dummy"
"351",0,0,1,1,"dummy"
"352",0,0,1,1,"dummy"
"353",0,0,1,1,"dummy"
"356",0,0,1,1,"dummy"
"357",0,1,1,2,"dummy"
"358",0,0,0,0,"dummy"
"359",0,0,1,1,"dummy"
"360",0,0,1,1,"dummy"
"361",0,0,1,1,"dummy"
"363",14,26,3,43,"dummy"
"364",0,4,0,4,"dummy"
"367",0,0,1,1,"dummy"
"368",0,6,2,8,"dummy"
"369",2,4,0,6,"dummy"
"370",4,2,0,6,"dummy"
"382",0,0,1,1,"dummy"
"383",0,0,1,1,"dummy"
"384",6,16,2,24,"dummy"
"385",0,0,2,2,"dummy"
"386",0,0,1,1,"dummy"
"387",0,0,1,1,"dummy"
"388",4,5,0,9,"dummy"
"389",5,4,1,10,"dummy"
"390",4,5,0,9,"dummy"
"391",0,0,1,1,"dummy"
"392",0,0,1,1,"dummy"
"393",0,0,2,2,"dummy"
"394",0,0,1,1,"dummy"
"395",6,2,4,12,"dummy"
"396",0,0,1,1,"dummy"
"427",2,2,0,4,"dummy"
"432",0,2,0,2,"dummy"
"434",0,0,0,0,"dummy"
"435",1,1,0,2,"dummy"
"436",15,0,0,15,"dummy"
"463",0,1,0,1,"dummy"
"464",0,1,0,1,"dummy"
"465",0,0,1,1,"dummy"
"466",0,1,0,1,"dummy"
"467",1,0,0,1,"dummy"
"468",0,1,0,1,"dummy"
"470",8,8,0,16,"dummy"
"471",3,3,0,6,"dummy"
"472",1,1,1,3,"dummy"
"473",0,0,1,1,"dummy"
"474",2,3,1,6,"dummy"
