repo_path,i_owner_type,i_stargazers,instructions,multi_process_tool,type
3846masa/Rich-Custard,User,2,9,supervisord,cmd
rattuscz/docker-postfix,User,0,20,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,7,supervisord,cmd
codekoala/docker-ssh,User,0,6,s6,cmd
esnet/docker,Organization,5,16,supervisord,cmd
Jooho/sample-docker,User,1,15,supervisord,cmd
obsrvbl/ona,Organization,0,22,supervisord,cmd
andrewskaggs/lunch-tools,User,1,9,supervisord,cmd
borislav-draganov/Nginx-Updater,User,0,9,supervisord,cmd
codewerft/docker.webinstance,Organization,0,15,supervisord,cmd
Liaodd/dockerfiles,User,1,8,supervisord,cmd
david-guenault/docker-projects,User,0,9,supervisord,cmd
vOROn200/smtp_relay,User,0,10,supervisord,cmd
edilio/citiesprj,User,1,18,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
Kahn/docker-sks,User,0,39,supervisord,cmd
ariarijp/dockerfiles,User,1,16,supervisord,cmd
hamiltont/hadoop-docker,User,0,18,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,7,supervisord,cmd
laikacultural/spaceport,Organization,4,26,supervisord,cmd
fxmartin/docker-h2-server,User,0,22,supervisord,cmd
hyone/my_docker_rake,User,6,13,supervisord,cmd
VikParuchuri/apartment-finder,User,778,14,supervisord,cmd
jdelacasa/docker-eyeOS_1.9,User,1,27,supervisord,cmd
comunes/docker-kune,Organization,3,65,supervisord,cmd
cburki/docker-btsync,User,0,17,s6,cmd
0x20h/docker-disque,User,0,13,supervisord,cmd
altran/_Whydah,Organization,1,35,supervisord,cmd
Sinar/docker-proxy,Organization,5,12,supervisord,cmd
lisagail/petulant-octo-computing-machine,User,0,22,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
theit8514/arch-sslca,User,0,24,supervisord,cmd
RobLoach/Dockie,User,45,10,supervisord,cmd
laikacultural/spaceport,Organization,4,22,supervisord,cmd
martin-magakian/dockyum,User,2,21,supervisord,cmd
HiveOSS-Dockers/s3fs,Organization,2,14,supervisord,cmd
Odania-IT/phpmyadmin-docker,Organization,1,14,supervisord,cmd
su-as/uhoh-docker,Organization,0,28,supervisord,cmd
eljefedelrodeodeljefe/randy-knife,User,0,19,supervisord,cmd
radcheb/rstudio-server-docker,User,0,11,supervisord,cmd
wilsonianb/rippled-validator,User,0,18,supervisord,cmd
hemavathyn/docker-nginx,User,0,15,supervisord,cmd
intersvyaz/docker-debian8-lnpm,Organization,3,19,supervisord,cmd
pauldavidgilligan-msm/docker-centos6-puppet-ruby215,User,0,16,supervisord,cmd
marceloandrader/dockerfiles,User,0,2,supervisord,cmd
su-as/uhoh-docker,Organization,0,28,supervisord,cmd
su-as/uhoh-docker,Organization,0,28,supervisord,cmd
radcheb/rstudio-server-docker,User,0,11,supervisord,cmd
eljefedelrodeodeljefe/randy-knife,User,0,19,supervisord,cmd
wilsonianb/rippled-validator,User,0,18,supervisord,cmd
intersvyaz/docker-debian8-lnpm,Organization,3,19,supervisord,cmd
hemavathyn/docker-nginx,User,0,15,supervisord,cmd
pauldavidgilligan-msm/docker-centos6-puppet-ruby215,User,0,16,supervisord,cmd
marceloandrader/dockerfiles,User,0,2,supervisord,cmd
peterreisz/docker-containers,User,0,23,supervisord,cmd
isaachbn/docker-notify-api,User,6,23,supervisord,cmd
pulcy/ha-redis,Organization,1,14,supervisord,cmd
Fendoe/open-hackathon-o,User,0,26,supervisord,cmd
Annixa/dockerlab-lab,Organization,0,9,supervisord,cmd
abn/dockerfiles,User,1,13,supervisord,cmd
CrakLabs/skeleton-service,Organization,0,21,supervisord,cmd
fspc/ybdb,User,0,10,supervisord,cmd
sinfere/dockerfile,User,0,22,supervisord,cmd
andresriancho/django-uwsgi-nginx-ssh,User,2,42,supervisord,cmd
allisson/dockerfiles,User,1,29,supervisord,cmd
Jooho/sample-docker,User,1,25,supervisord,cmd
raphiz/docker-ubuntu-cron,User,4,13,supervisord,cmd
creative-area/docker-graphite,Organization,1,33,supervisord,cmd
nhantran/docker-images,User,0,12,supervisord,cmd
doctimjones/docker-c9-workstation,User,0,28,supervisord,cmd
jbrechtel/riff,User,0,15,supervisord,cmd
chtiJBUG/drools-platform-docker-withexamples,Organization,1,11,supervisord,cmd
4GkitIoT/Summer-2015-kits,User,3,22,supervisord,cmd
atsaki/docker-cloudstack,User,0,3,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,8,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,8,supervisord,cmd
laikacultural/spaceport,Organization,4,25,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
srounet/docker-nodebb,User,0,29,supervisord,cmd
mgkwill/docker-openvswitch,User,1,29,supervisord,cmd
jmaher/alert_manager,User,8,13,supervisord,cmd
fedora-cloud/Fedora-Dockerfiles,Organization,307,48,supervisord,cmd
whlee21/docker,User,1,26,supervisord,cmd
hrwebasst/docker-learninglocker,User,0,15,supervisord,cmd
Suvitruf/docker-grafana-graphite-diamond,User,5,48,supervisord,cmd
docker-linux/docker-rundeck,User,1,16,supervisord,cmd
kawanamiyuu/docker-centos-supervisord,User,3,10,supervisord,cmd
peleteiro/bandit-server,User,7,12,s6,cmd
Tairy/dockerfiles,User,1,14,supervisord,cmd
quickbundle/dockerfile,User,0,11,supervisord,cmd
ryankanno/docker-etcd,User,1,29,supervisord,cmd
danidemi/docker-cms,User,0,25,supervisord,cmd
linkthrow/docker-supervisor,User,0,5,supervisord,cmd
phpmentors-jp/docker-images,Organization,17,37,supervisord,cmd
theikkila/urlid,User,3,19,supervisord,cmd
zdw/xos,User,0,21,supervisord,cmd
codewerft/docker.mysql,Organization,0,16,supervisord,cmd
codekoala/docker-s6,User,1,5,s6,cmd
keyz182/Postwycker,User,0,15,supervisord,cmd
dustyfresh/OnionIRC,User,28,13,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
fspc/freehub,User,1,9,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
skippy/docker-base,User,0,20,supervisord,cmd
classcat/docker-postfix,User,0,8,supervisord,cmd
adsabs/adsabs-vagrant,Organization,0,15,supervisord,cmd
dtravin/ftpsync,User,0,11,supervisord,cmd
yodlr/glance,Organization,0,13,supervisord,cmd
WIZARD-CXY/dockerCF,User,0,15,supervisord,cmd
muccg/docker-openstack,Organization,4,8,supervisord,cmd
jumanjiman/docker-xrdp,User,9,11,supervisord,cmd
phelset/docker-osticket,User,0,27,supervisord,cmd
foogaro/docker-httpd-eap-6,User,0,23,supervisord,cmd
jmarin/devops,User,0,15,supervisord,cmd
Dockerlover/docker-lamp,Organization,0,19,supervisord,cmd
yisheng/docker-jobtong-dev,User,3,4,supervisord,cmd
JustinHook/royal-mail-price-api,User,5,22,supervisord,cmd
paulbellamy/go-ndn,User,0,26,supervisord,cmd
CS497-F15/sensu,Organization,0,41,supervisord,cmd
gelnior/newebe,User,100,19,supervisord,cmd
bau-sec/ansible-openvpn-hardened,User,2,22,system.d,cmd
Rohithzr/cloud9-auto,User,0,31,supervisord,cmd
romanlv/docker-testopia,User,1,40,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
mrl1n/Dockerfiles,User,0,16,supervisord,cmd
ChristianKniep/docker-graphite-api,Organization,1,11,supervisord,cmd
