repo_path,i_owner_type,i_stargazers,instructions,multi_process_tool,type
miquelo/storm-core,User,0,9,supervisord,cmd
ChristianKniep/docker-helixdns,User,2,16,supervisord,cmd
colindensem/docker-nginx,User,0,33,supervisord,cmd
cgroll/j_r_docker,User,0,6,supervisord,cmd
skorokithakis/netproxy,User,200,22,supervisord,cmd
locnh/docker-magento,User,3,23,supervisord,cmd
medined/docker-lumify,User,0,7,supervisord,cmd
classcat/docker-postfix-dovecot,User,0,8,supervisord,cmd
arcolife/dockerComp,User,16,17,supervisord,cmd
anduintransaction/Dockerfiles,Organization,1,16,supervisord,cmd
csirtgadgets/bearded-avenger,Organization,44,15,supervisord,cmd
kvchampa/Docker,User,0,14,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
opendns/OpenResolve,Organization,28,15,supervisord,cmd
rokasmi/joniskio-turgus,User,0,8,supervisord,cmd
chinthakagodawita/docker-containers,Organization,1,21,supervisord,cmd
spotify/docker-kafka,Organization,464,16,supervisord,cmd
leoncamel/docker-brew-datacanvas-base,User,0,9,supervisord,cmd
rocklass/sonarqube,User,0,29,supervisord,cmd
jeyk/docker-owncloud,User,0,18,supervisord,cmd
alaneduaardo/dockerfiles,User,0,19,supervisord,cmd
mindo/nemi-docker,User,0,23,supervisord,cmd
laikacultural/spaceport,Organization,4,21,supervisord,cmd
Dockerlover/docker-gogs,Organization,0,23,supervisord,cmd
bssthu/docker-erpnext,User,1,18,supervisord,cmd
echo00241/DockerMySQLSample,User,0,19,supervisord,cmd
bryanheinz/docker-recipes,User,0,7,supervisord,cmd
monino/cliente_graylog2,User,0,21,supervisord,cmd
taciti/Docker-Centos7-httpd,User,0,18,supervisord,cmd
muccg/docker-openstack,Organization,4,12,supervisord,cmd
Tairy/dockerfiles,User,1,21,supervisord,cmd
hiroakis/docker-sensu-server,User,95,45,supervisord,cmd
Pooja-S-Rao/docker-machine-oneview,User,0,14,supervisord,cmd
Labdoo/Labdoo,Organization,2,8,supervisord,cmd
0x20h/docker-disque,User,0,15,supervisord,cmd
david-guenault/docker-projects,User,0,9,supervisord,cmd
alevin/docker-monit_min_centos,User,0,8,monit,cmd
lazabogdan/docker-images,User,0,8,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,7,supervisord,cmd
koudaiii/vagrant-docker,User,1,30,supervisord,cmd
cburki/docker-chronograf,User,0,17,s6,cmd
Dockerlover/docker-java,Organization,0,12,supervisord,cmd
abhijitsarkar/docker,User,0,26,supervisord,cmd
ChenTung/Dockerfiles,User,0,30,supervisord,cmd
taciti/supervisord-nginx-phpfpm-openvpn,User,0,18,supervisord,cmd
rhelmer/anyhosting,User,1,9,supervisord,cmd
Runbook/runbook-ops,Organization,12,21,supervisord,cmd
hideakihal/docker-kandan-hubot,User,3,59,supervisord,cmd
wrhwebmaster/public,User,0,13,supervisord,cmd
jumanjiman/dockerfiles,User,0,14,supervisord,cmd
koudaiii/docker_mysql_centos,User,0,43,supervisord,cmd
juramy/php7-fpm-nginx,Organization,1,48,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
david-guenault/docker-projects,User,0,13,supervisord,cmd
mtmacdonald/docker-mono-aspnet,User,0,15,supervisord,cmd
oodt-cloud/docker,Organization,0,23,supervisord,cmd
Dockerlover/docker-mongodb,Organization,0,30,supervisord,cmd
K-Phoen/post-to-pocketbook,User,0,13,supervisord,cmd
bhzunami/reanalytics,User,0,33,supervisord,cmd
OpenBfS/dokpool-plone,Organization,0,23,supervisord,cmd
pauldavidgilligan-msm/sp7987,User,0,31,supervisord,cmd
humangeo/orientdb-docker,Organization,1,12,supervisord,cmd
lewg/docker-hhvm-pagespeed,User,1,12,supervisord,cmd
makehackvoid/mhvdb2,Organization,4,23,supervisord,cmd
liufuyang/twitter_tesla,User,0,6,supervisord,cmd
sammcj/docker-xen-orchestra,User,4,21,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,9,supervisord,cmd
bulgr0z/dockerfile-nginx-php,User,6,18,supervisord,cmd
pauldavidgilligan-msm/sp7987,User,0,37,supervisord,cmd
udomsak/thaiopensource-tut,User,0,25,supervisord,cmd
taka0125/docker,User,0,19,supervisord,cmd
Noirello/bonsai,User,37,34,supervisord,cmd
edannenberg/gentoo-bb,User,49,6,s6,cmd
Hyatt/docker-centos-supervisord,Organization,1,8,supervisord,cmd
scott-hand/web-security-crash-course,User,0,12,supervisord,cmd
henridwyer/docker-postfix-foward,User,2,13,supervisord,cmd
rdavaillaud/compo2trains,User,0,13,supervisord,cmd
ziyunhx/storm-mono-docker,User,9,9,supervisord,cmd
Maluuba/docker-files,Organization,20,16,supervisord,cmd
fastnsilver/devbox,User,0,17,supervisord,cmd
Dockerlover/docker-wecenter,Organization,0,9,supervisord,cmd
1dot75cm/copr-deploy,User,2,23,system.d,cmd
phaneendra/ansible-control,User,0,14,supervisord,cmd
michaloo/fluentd,User,18,17,supervisord,cmd
jeyk/docker-icinga,User,0,15,supervisord,cmd
lockrecv/more,User,2,15,supervisord,cmd
tierpod/docker-images,User,1,11,supervisord,cmd
rubinius/influxdb-grafana,Organization,9,27,supervisord,cmd
hacklabr/timtec,Organization,49,34,supervisord,cmd
HewlettPackard/docker-machine-oneview,Organization,12,14,supervisord,cmd
econquer/madsonic,User,0,12,supervisord,cmd
derfloh/bamboo-server,User,0,16,supervisord,cmd
jackobhsu/jackob-ubuntu,User,0,28,supervisord,cmd
jackobhsu/jackob-ubuntu,User,0,28,supervisord,cmd
ushios/docker-lamp-ubuntu,User,5,11,supervisord,cmd
joaovnogueira/kafka-zookeeper-single,User,0,18,supervisord,cmd
autodesk-cloud/ci-ochopod,Organization,7,6,supervisord,cmd
sidthakur/simple-user-management-api,User,1,18,supervisord,cmd
CognitiveScale/docker-orientdb,Organization,1,16,supervisord,cmd
mkaczanowski/docker-archlinux-arm,User,8,19,system.d,cmd
d9w/webite,User,0,18,supervisord,cmd
elvis-macak/config-repo,User,1,6,supervisord,cmd
tallycheck/data-core,Organization,0,9,supervisord,cmd
ipedrazas/taiga-docker,User,191,12,supervisord,cmd
ruimo/dockerfile-nginx,User,0,14,monit,cmd
Co-opComplete/K4,Organization,2,19,supervisord,cmd
Dockerlover/docker-mongodb,Organization,0,30,supervisord,cmd
jumanjiman/docker-xrdp,User,9,15,s6,cmd
kaushalkishorejaiswal/Docker-Centos-Nginx-PHP,User,9,14,supervisord,cmd
Krijger/docker-cookbooks,User,267,10,supervisord,cmd
jeffleeismyhero/Docker-Rails,User,0,37,supervisord,cmd
aslag/docker_seq,User,1,18,supervisord,cmd
n3r0-ch/docuro,User,2,40,upstart,cmd
abomfim/docker-nginx-php,User,0,27,supervisord,cmd
devdkerr/couchdb,User,0,21,supervisord,cmd
flychen50/Docker-Centos-Nginx-PHP,User,0,14,supervisord,cmd
techyugadi/openldap_ssh,User,1,31,supervisord,cmd
fastnsilver/devbox,User,0,19,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
novice79/nginx,User,0,28,supervisord,cmd
muccg/docker-openstack,Organization,4,10,supervisord,cmd
pauldavidgilligan-msm/go-skydns,User,1,54,supervisord,cmd
sidthakur/docker-single-nginx-flask,User,0,18,supervisord,cmd
koudaiii/docker_rails_centos,User,0,49,supervisord,cmd
dnhsoft/docker-php,Organization,0,12,supervisord,cmd
koudaiii/docker_ALMinium,User,2,40,supervisord,cmd
Dockerlover/docker-console,Organization,0,21,supervisord,cmd
fedora-cloud/Fedora-Dockerfiles,Organization,307,16,supervisord,cmd
alevin/docker-monit_base,User,0,10,monit,cmd
gmarcotte3/georgesrepos,User,0,28,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
ariarijp/dockerfiles,User,1,16,supervisord,cmd
Verigreen/jenkins-tomcat-nginx,Organization,7,34,supervisord,cmd
peachdocs/peach,Organization,514,13,s6,cmd
xaamin/php-fpm,User,1,15,supervisord,cmd
oodt-cloud/docker,Organization,0,34,supervisord,cmd
Tairy/dockerfiles,User,1,22,supervisord,cmd
primiano/docker-webvirtmgr,User,4,25,supervisord,cmd
ProPheT777/real_time_bidirectional_notification-symfony2-redis-websocket-pubsub,User,0,19,supervisord,cmd
autodesk-cloud/ci-ochopod,Organization,7,10,supervisord,cmd
muccg/docker-openstack,Organization,4,9,supervisord,cmd
Test-Betta-Inc/psychic-barnacle,Organization,0,14,supervisord,cmd
allisson/dockerfiles,User,1,25,supervisord,cmd
njordr/docker-scrapyd,User,0,17,supervisord,cmd
Joeboy/dockerfiles,User,6,24,supervisord,cmd
mitel/orientdb-docker-js,User,0,20,supervisord,cmd
peterreisz/docker-containers,User,0,22,supervisord,cmd
binhex/arch-sickrage,User,1,15,supervisord,cmd
kmkanagaraj/skyring-vagrant,User,0,13,supervisord,cmd
benc/debian-vagrant,User,0,17,supervisord,cmd
FoxtrotSystems/spark-cassandra-docker,Organization,3,16,supervisord,cmd
flyhigher139/gitmark2,Organization,0,22,supervisord,cmd
ansible/docker,Organization,11,20,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
nhantran/docker-images,User,0,47,supervisord,cmd
reuteras/docker-kippo,User,2,25,supervisord,cmd
asm-products/runbook-ops,Organization,12,21,supervisord,cmd
talkincode/ToughRADIUS,Organization,192,8,supervisord,cmd
kiyoad/docker-devenv-jp,User,0,18,supervisord,cmd
autodesk-cloud/ochonetes-kafka,Organization,6,12,supervisord,cmd
binhex/arch-minidlna,User,5,11,supervisord,cmd
Runbook/runbook-ops,Organization,12,19,supervisord,cmd
bioinformatics-ptp/dockerfiles,Organization,1,26,supervisord,cmd
lyfbuaa/docker,User,0,20,supervisord,cmd
joway/Dispider,User,1,17,supervisord,cmd
MSUAS-15SoSe-MProj/diperf,Organization,1,14,supervisord,cmd
lewg/docker-hhvm,User,1,10,supervisord,cmd
devdkerr/elasticsearch,User,0,23,supervisord,cmd
fanday/openldap,User,4,26,supervisord,cmd
rthallisey/atomic-osp-installer,User,4,13,supervisord,cmd
crusat/cru-docker-lemp,User,0,20,supervisord,cmd
laikacultural/spaceport,Organization,4,22,supervisord,cmd
cdaniel/wardleymapstool,User,58,19,supervisord,cmd
brijeshakbari/edXconfiguration,User,0,9,supervisord,cmd
rthallisey/atomic-osp-installer,User,4,19,supervisord,cmd
adomenech73/CoreOS,User,0,18,supervisord,cmd
boardstretcher/docker-files,User,19,40,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
joshuar/elk-ping,User,6,34,supervisord,cmd
koudaiii/example-paas,User,0,57,supervisord,cmd
minatsu/docker,User,0,38,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
ptone/jiffylab,User,185,33,supervisord,cmd
ekulos/docker-supervisor,User,0,8,supervisord,cmd
kenmlee/webvirtcloud-docker,User,1,21,supervisord,cmd
diresi/docker,User,1,24,supervisord,cmd
viliusl/docker-sshd-nginx,User,3,22,supervisord,cmd
arulrajnet/torprivoxy,User,0,18,supervisord,cmd
fspc/bikebinder,User,0,10,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
tclarke/docker-recipes,User,0,9,supervisord,cmd
matthdan/docker-centos7-evo,User,0,27,supervisord,cmd
ppepos/drunken-shame,User,2,13,supervisord,cmd
diceone/docker_graphite,User,0,29,supervisord,cmd
gustavonalle/yarn-docker,User,2,46,supervisord,cmd
vjorlikowski/plexus,User,2,16,supervisord,cmd
lingya/docker-spark,User,0,4,supervisord,cmd
dianpou/dockerfile,Organization,2,22,supervisord,cmd
xialingxiao/mokafelk,User,0,21,supervisord,cmd
allisson/django-docker-example,User,8,21,supervisord,cmd
arthurliang/dockerfiles,User,1,20,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
j4y-funabashi/aruna,User,0,10,supervisord,cmd
sedden/docker-xrdp-desktop,User,1,43,supervisord,cmd
sedsimon/docker-supervisord,User,0,7,supervisord,cmd
rincedd/docker-xvfb,User,0,12,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
n3r0-ch/ddesktop,User,0,18,upstart,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
elastisys/scale.cloudpool,User,1,23,supervisord,cmd
sunsided/storm-docker,User,0,10,supervisord,cmd
MSUAS-15SoSe-MProj/diperf,Organization,1,14,supervisord,cmd
rworksjp/docker-compose-osc2016-tokyo-spring,Organization,1,15,supervisord,cmd
openforis/sepal,Organization,10,12,supervisord,cmd
pferrot/ochograph,User,0,29,supervisord,cmd
sixeyed/dockers,User,3,15,supervisord,cmd
whlee21/docker,User,1,13,supervisord,cmd
mxr576/stanbol,User,0,17,supervisord,cmd
podiobooks/podiobooks_docker,User,0,23,supervisord,cmd
pesho/docker-fdb,User,3,19,supervisord,cmd
jbbodart/arch-rtorrentvpn,User,4,15,supervisord,cmd
40thoughts/docker-NGinX,User,0,11,supervisord,cmd
sthulb-attic/docker-pal,Organization,3,14,supervisord,cmd
timlinux/docker-projects,User,1,25,supervisord,cmd
ZhangZhenhua/docker.hub,User,1,7,supervisord,cmd
koolay/dockers,User,0,16,s6,cmd
tallycheck/data-core,Organization,0,9,supervisord,cmd
Locu/chronology,Organization,58,12,supervisord,cmd
grohman/tattler,User,0,10,runit,cmd
catatnight/docker-stack,User,0,18,supervisord,cmd
dgersting/docker-unifi,User,0,24,supervisord,cmd
dockhippie/invoiceninja,Organization,1,15,s6,cmd
voodootikigod/docker-riak-json,User,6,35,supervisord,cmd
ingenieux/beanstalker,Organization,50,7,supervisord,cmd
RobLoach/Dockie,User,45,10,supervisord,cmd
openslack/openslack-docker,Organization,1,8,supervisord,cmd
arthurcrawford/monitor-base,User,0,27,supervisord,cmd
romeOz/docker-nginx-php,User,42,16,supervisord,cmd
catwithboots/Spielerei,Organization,0,12,supervisord,cmd
bremme/docker-madsonic,User,1,33,supervisord,cmd
nhantran/docker-images,User,0,15,supervisord,cmd
nuodb/nuodb-docker,Organization,0,10,supervisord,cmd
en0/PivotalPoker,User,0,7,supervisord,cmd
lazabogdan/docker-images,User,0,40,supervisord,cmd
Dockerlover/docker-tornado,Organization,0,9,supervisord,cmd
artem-sidorenko/vagrant-environments,User,2,8,supervisord,cmd
Hevienz/gogs-daocloud,User,0,14,supervisord,cmd
boardstretcher/docker-files,User,19,40,supervisord,cmd
talkincode/toughtester,Organization,2,8,supervisord,cmd
pesho/docker-fdb,User,3,18,supervisord,cmd
s-bernard/docker-centos-systemd-kitchen,User,0,13,system.d,cmd
kdelfour/cloud9-docker,User,105,28,supervisord,cmd
koudaiii/docker_mysql_ubuntu,User,0,44,supervisord,cmd
Kyah/docker-htpcmanager,User,0,16,supervisord,cmd
pauldavidgilligan-msm/docker-centos6-puppet-ruby212,User,0,16,supervisord,cmd
tylerjl/dockerfiles,User,0,8,system.d,cmd
eighilaza/bouraka,User,0,18,supervisord,cmd
rpiotaix/docker-sistearth,User,0,40,supervisord,cmd
BlackIkeEagle/docker-archlinux-images,User,6,12,supervisord,cmd
TallerWebSolutions/drucker,Organization,9,9,supervisord,cmd
lukaspustina/bosun-server-demo-conf,User,0,7,supervisord,cmd
relateiq/docker-foundationdb-sql,Organization,9,29,supervisord,cmd
lemonlatte/docker-ipython-notebook,User,0,21,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,17,supervisord,cmd
qnib/u14-supervisor,Organization,0,6,supervisord,cmd
Dockerlover/docker-kityminder,Organization,0,10,supervisord,cmd
david-guenault/docker-projects,User,0,36,supervisord,cmd
RobLoach/docker-lamp,User,8,38,supervisord,cmd
david-guenault/docker-projects,User,0,32,supervisord,cmd
barbct5/swim,User,15,12,supervisord,cmd
xjchengo/docker-nginx-php,User,1,29,supervisord,cmd
rworksjp/docker-compose-osc2016-tokyo-spring,Organization,1,12,supervisord,cmd
albertoruibal/docker-odoo,User,1,20,supervisord,cmd
25th-floor/docker-php,Organization,0,12,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
Turistforeningen/Jotunheimr,Organization,5,9,supervisord,cmd
ziyunhx/storm-mono-docker,User,9,5,supervisord,cmd
x3rus/Training_docker,User,0,16,supervisord,cmd
london-escience/tempss,Organization,1,22,supervisord,cmd
tsunammis/docker-host-reverse-proxy,User,0,14,supervisord,cmd
OpenBfS/dokpool-plone,Organization,0,25,supervisord,cmd
abn/revok-dockerfiles,User,0,14,supervisord,cmd
LabAdvComp/docker-slurmd,Organization,0,38,supervisord,cmd
oesteban/qap-docker,User,0,19,supervisord,cmd
macropin/docker-mailman,User,1,16,supervisord,cmd
jaarandaz/docker-php-nginx,User,0,16,supervisord,cmd
mtmacdonald/docker-symmetricds,User,0,15,supervisord,cmd
andresriancho/django-moth,User,9,19,supervisord,cmd
gembaboo/apt-timezone,Organization,0,21,supervisord,cmd
strarsis/docker-nginx-consul-template,User,0,16,supervisord,cmd
soundyogi/cloud9core-docker,User,0,22,supervisord,cmd
muccg/docker-openstack,Organization,4,8,supervisord,cmd
pulyaevskiy/dart-kafka,Organization,5,10,supervisord,cmd
edannenberg/gentoo-bb,User,49,9,s6,cmd
lyddonb/statsd_graphite_docker,User,0,50,supervisord,cmd
SophiaGitHub/hello,User,1,14,supervisord,cmd
muccg/docker-openstack,Organization,4,9,supervisord,cmd
wrapp/docker-registry,Organization,3,18,supervisord,cmd
Dockerlover/docker-java,Organization,0,12,supervisord,cmd
karthikjaps/ELK,User,0,22,supervisord,cmd
dpfg/kicker-scorer,User,1,13,supervisord,cmd
bsteinberg/uchiwa,User,0,34,supervisord,cmd
Boilrig/docker-lab3.1,User,0,11,supervisord,cmd
david-guenault/docker-projects,User,0,26,supervisord,cmd
asm-products/runbook-ops,Organization,12,19,supervisord,cmd
Dockerlover/docker-docs,Organization,0,14,supervisord,cmd
benc/debian-vagrant,User,0,39,supervisord,cmd
socketwench/dockerthingy,User,0,13,supervisord,cmd
mefellows/docker-tick,User,13,25,supervisord,cmd
schollz/cowyo,User,53,20,supervisord,cmd
nhantran/docker-images,User,0,17,supervisord,cmd
callect/laradock,User,4,9,supervisord,cmd
docker-linux/postfix,User,4,13,supervisord,cmd
ruimo/df-ub1404-pgsql935,User,0,27,monit,cmd
Kahn/docker-sks,User,0,26,supervisord,cmd
edannenberg/gentoo-bb,User,49,12,s6,cmd
Capitains/rpi-capitains-raspbian,Organization,0,23,supervisord,cmd
flyhigher139/mayblog,User,105,21,supervisord,cmd
binhex/arch-emby,User,2,11,supervisord,cmd
abn/revok-dockerfiles,User,0,6,supervisord,cmd
Dockerlover/docker-gitbook,Organization,0,14,supervisord,cmd
ivanp/dockerbuilds,User,0,5,supervisord,cmd
abn/dockerfiles,User,1,31,supervisord,cmd
koudaiii/docker_rails_ubuntu,User,0,50,supervisord,cmd
savoirfairelinux/rekishi,Organization,1,62,supervisord,cmd
jaarandaz/docker-nginx,User,0,15,supervisord,cmd
billvsme/vmaig_blog,User,186,29,supervisord,cmd
how2dock/docbook,Organization,127,15,supervisord,cmd
25th-floor/docker-php,Organization,0,12,supervisord,cmd
dollars0427/telegram-treehole,User,0,14,supervisord,cmd
futurice/vimma2,Organization,1,64,supervisord,cmd
Dockerlover/docker-floppybird,Organization,0,7,supervisord,cmd
Sitback/docker-containers,Organization,1,14,supervisord,cmd
ryansb/gitsniffer,User,3,20,supervisord,cmd
sameersbn/docker-nginx,User,38,15,supervisord,cmd
edx/configuration,Organization,561,17,supervisord,cmd
nghiant2710/test-docker,User,0,14,supervisord,cmd
ambling/hadoop-docker,User,1,27,supervisord,cmd
abn/revok-dockerfiles,User,0,6,supervisord,cmd
Fredoo404/Dockerfile,User,0,29,supervisord,cmd
YanLobat/Arkadia,User,0,10,runit,cmd
rbjarnason/docker-kiwiirc,User,0,10,supervisord,cmd
Hevienz/gogs-daocloud,User,0,17,supervisord,cmd
solarkennedy/wine-x11-novnc-docker,User,12,12,supervisord,cmd
Carrotzpc/docker,User,0,14,supervisord,cmd
tushars-tp/ubuntu-precise-32bit-vlabs,User,0,14,supervisord,cmd
usr000/outlier-detection,User,0,11,supervisord,cmd
viliusl/docker-activemq,User,1,19,supervisord,cmd
bkju/infrastructure_as_code,User,0,33,supervisord,cmd
mistermarco/webforms,User,5,20,supervisord,cmd
chinthakagodawita/docker-containers,Organization,1,9,supervisord,cmd
PTAnywhere/ptAnywhere-installation,Organization,0,11,supervisord,cmd
csirtgadgets/bearded-avenger,Organization,44,15,supervisord,cmd
khena/jelix-docker,User,0,27,supervisord,cmd
ChristianKniep/docker-graphite,User,0,47,supervisord,cmd
lizbew/code-practice,User,0,9,supervisord,cmd
Krijger/docker-cookbooks,User,267,7,supervisord,cmd
fifsky/docker-php,User,7,20,supervisord,cmd
olx-inc/octopush,Organization,17,28,supervisord,cmd
igaki/Dockerfiles,User,0,14,monit,cmd
marchandd/term_ssh_root_wine,User,2,25,supervisord,cmd
bhuisgen/docker-zabbix-coreos,User,27,16,supervisord,cmd
nicholasjackson/helloworld-swift,User,0,12,supervisord,cmd
andreaskoch/docker-registry-with-authentication,User,2,16,supervisord,cmd
drakeu/docker-tipboard,User,3,13,supervisord,cmd
rvennam/dockerProject,User,0,5,supervisord,cmd
open-cloud/xos,Organization,36,14,supervisord,cmd
c2is/Bigfoot,Organization,1,18,supervisord,cmd
fmatar/docker-node-base,User,0,17,supervisord,cmd
lucee/lucee-dockerfiles,Organization,25,17,supervisord,cmd
keithb418/medcheckerapp,User,0,23,supervisord,cmd
CanalTP/fabric_navitia,Organization,1,28,supervisord,cmd
carlohamalainen/imagetrove,User,0,55,supervisord,cmd
feathj/docker-postfix-blackhole,User,1,9,supervisord,cmd
Saberlion/docker-webssh,User,0,17,supervisord,cmd
open-cloud/xos,Organization,36,21,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
chinthakagodawita/docker-containers,Organization,1,27,supervisord,cmd
ubermuda/docker-symfony,User,28,16,supervisord,cmd
sicnarf74/alpine-djangorestframework-docker,User,1,19,supervisord,cmd
xianfengyuan/sensu,User,0,46,supervisord,cmd
arthuralvim/docker-ubuntu-ssh,User,1,17,supervisord,cmd
maxthomax/UsingTLSLab,User,0,11,supervisord,cmd
Virakkaingph/AngularProjec,User,0,7,supervisord,cmd
LuisPalacios/base-chatarrero,User,1,32,supervisord,cmd
FabLab-LaCote/avionmake-backend,Organization,0,8,supervisord,cmd
whlee21/docker,User,1,29,supervisord,cmd
mitel/emcday2015,User,2,18,supervisord,cmd
amtgard/ORK3,Organization,7,18,supervisord,cmd
fedora-cloud/Fedora-Dockerfiles,Organization,307,19,supervisord,cmd
billvsme/vmaig_blog,User,186,28,supervisord,cmd
Joeboy/dockerfiles,User,6,24,supervisord,cmd
panubo/Dockerfiles,Organization,3,11,s6,cmd
xsteadfastx/praeger,User,0,43,supervisord,cmd
smartive/docker-node-development-runner,Organization,0,8,supervisord,cmd
yakinaround/myadventure-api,Organization,0,26,supervisord,cmd
1dot75cm/copr-deploy,User,2,7,system.d,cmd
nlamirault/tchoupi,User,0,13,supervisord,cmd
saschaishikawa/planetary-response-network,User,0,21,supervisord,cmd
tallycheck/data-core,Organization,0,9,supervisord,cmd
benasse/canal-flask,User,1,10,supervisord,cmd
bjasko/docker-postfix-mailgw,User,0,7,supervisord,cmd
kammy/my-dev-vagrant,User,0,22,supervisord,cmd
joegalaxy71/alpine_nginx_phpfm,User,0,22,supervisord,cmd
romeOz/docker-nginx-php,User,42,15,supervisord,cmd
watonyweng/cakephp-tour,User,0,27,supervisord,cmd
urban/docker-etherpad,User,0,18,supervisord,cmd
ryanamorrison/ansible_class,User,1,18,supervisord,cmd
njvijay/docker-storm-repo,User,0,10,supervisord,cmd
xmaruto/mcord,User,0,21,supervisord,cmd
devdkerr/nginx,User,0,21,supervisord,cmd
aegypius/armada,User,0,15,supervisord,cmd
Liaodd/dockerfiles,User,1,17,supervisord,cmd
nak3/cockroach-local-cluster,User,0,21,supervisord,cmd
younginnovations/docker-resourcecontracts.org,Organization,0,32,supervisord,cmd
willdurand/Propilex,User,141,27,supervisord,cmd
sinfere/dockerfile,User,0,13,supervisord,cmd
TOTVS/mdmpublic,Organization,2,10,supervisord,cmd
haugene/docker-transmission-openvpn,User,194,23,supervisord,cmd
gusnips/dockerfile,User,1,23,supervisord,cmd
TheMaximumDrive/witestify,User,0,14,supervisord,cmd
messyOne/Loo-App,User,1,65,supervisord,cmd
lmm-git/LaTeX-webservice,User,0,44,supervisord,cmd
Coaxis-ASP/opt,Organization,1,15,supervisord,cmd
looztra/dockerfiles,User,2,14,supervisord,cmd
isotopsweden/docker-farmer,Organization,2,14,supervisord,cmd
yodlr/CoreGI,Organization,193,27,supervisord,cmd
dashohoxha/Labdoo,User,0,8,supervisord,cmd
sumpfgottheit/sdi-centos7-sshd-diwacontroller,User,0,25,supervisord,cmd
thanhson1085/swagger-combined,User,23,27,supervisord,cmd
Dockerlover/docker-redis,Organization,0,10,supervisord,cmd
binhex/arch-sonarr,User,1,12,supervisord,cmd
awproksel/docker_flask,User,0,16,supervisord,cmd
timlinux/docker-projects,User,1,21,supervisord,cmd
Dockerlover/docker-apache,Organization,0,19,supervisord,cmd
marcko/docker-sails-grunt-cli,User,0,26,supervisord,cmd
messyOne/Loo-Framework,User,2,65,supervisord,cmd
tiagoantao/virtual-core,User,4,10,supervisord,cmd
yckrasnodar/docker,User,0,14,supervisord,cmd
DataDog/docker-dd-agent,Organization,138,19,supervisord,cmd
altran/_Whydah,Organization,1,26,supervisord,cmd
thanhson1085/angular-admin-seed,User,6,28,supervisord,cmd
cmosher01/Epple-II,User,10,27,supervisord,cmd
rhlobo/github_jackdaw,User,0,26,supervisord,cmd
tsari/xdebug,User,0,21,supervisord,cmd
Runbook/runbook-ops,Organization,12,19,supervisord,cmd
macropin/docker-mailserver,Organization,0,20,supervisord,cmd
ophal/core,Organization,36,28,supervisord,cmd
WIZARD-CXY/dockerCF,User,0,41,supervisord,cmd
CivicKnowledge/ambry-admin,Organization,0,43,supervisord,cmd
masatoshiitoh/dockerfiles,User,0,30,supervisord,cmd
RobLoach/Dockie,User,45,13,supervisord,cmd
diegocortassa/docker-tactic,User,3,34,supervisord,cmd
linkthrow/docker-mp4-box,User,2,10,supervisord,cmd
qnib/docker-u_consul,Organization,0,18,supervisord,cmd
quickbundle/dockerfile,User,0,6,supervisord,cmd
xnlogic/docker-kafka,Organization,0,18,supervisord,cmd
pauldavidgilligan-msm/docker-centos6-base-image,User,0,30,supervisord,cmd
liuhong1happy/docker-lamp,User,0,12,supervisord,cmd
wpp/namnumbers-docker,User,0,16,supervisord,cmd
Pablosan/dev-ws,User,0,8,supervisord,cmd
altermarkive/Matlab-Task-Processing-with-SQS-MCR-Python-S3FS-rsyslog-Ubuntu-Docker-ECS-CloudWatch,User,0,27,supervisord,cmd
litalex/trnews,User,0,9,supervisord,cmd
Sitback/docker-containers,Organization,1,21,supervisord,cmd
97ying/kafka,User,0,13,supervisord,cmd
wakaru44/docker.url_check_service,User,0,7,supervisord,cmd
gbisheimer/WheneverBackup,User,0,5,supervisord,cmd
numkem/docker-mailgraph,User,0,14,supervisord,cmd
Dockerlover/docker-rails,Organization,0,13,supervisord,cmd
dockhippie/postfix,Organization,2,17,s6,cmd
Dockerlover/docker-discover,Organization,0,15,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
otahi/docker_lbspec_test,User,0,14,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
luckypool/dockerfile-development-db,User,0,38,monit,cmd
ishiidaichi/apache-php-mongo-phalcon-docker,User,5,22,supervisord,cmd
paulrosania/postfix-lmtp,User,0,15,supervisord,cmd
