gaoyifan/docker-strongswan;31;1
9seconds/homebrew-q;149;0
bryanlatten/docker-apt-cacher;23;1
kunickiaj/jmxtrans-docker;41;1
obushakim/obusMeanjs;1;0
enigmatic/BMBItemEffectiveness;1;0
avatarnewyork/docker-saltminion;84;1
vallard/gospark;43;1
rhargreaves/spa-demo-test-suite;216;1
andrexus/nginx-ldap-auth-daemon;73;1
stigbd/clubmemberservice;43;1
tsgkdt/sphinx-plantuml;174;1
gerasim13/flask;88;1
lijy91/phoenix-backend;273;1
alexebird/luffer;37;0
zpytel/angular2;140;1
Accenture/adop-nexus;113;1
ysaotome/docker-go-dev;44;1
n0v3xx/docker-ubuntu-apache-php;194;1
aaronmyatt/mv_shorl;274;1
bitrise-io/envman;117;1
d4nc00per/wercker-android-23;219;0
oba/ecs-consul-agent;5;1
marchandd/term_ssh_root_wine;136;0
jbye/docker-kapacitor;43;1
smiller171/docker-ssl-redirect;15;1
PurpleBooth/nginx-ssl-terminator;17;1
chipjacks/runlab;2;0
zachlatta/southbayfession;29;0
bitgandtter/k8s_php_test;85;0
christian-blades-cb/etcdbk;3;0
smarbos/subDB;390;0
hoist/hoist-poller;42;0
sumpfgottheit/sdi-hrng-base;31;0
atbaker/redis-example;19;1
dylanlindgren/docker-laravel-artisan;95;1
lightning18/rcj-leaderboards;393;1
valentine/docker-slackirc-env;52;1
teh-cmc/elasticsearch-thrift;47;1
marcpawl/gradle_native_global_definitions;154;1
frdmn/docker-cloudbot;227;0
nahuelhds/meanjs-test;2;0
gaurav8k/asset;239;1
PerfMonk/eclipse_cell;84;0
DINA-Web/dw-classifications;40;0
behance/docker-golang;69;1
embrasure/cleanroom;32;1
halstead/crops_webhook;63;1
gallegogt/lwan-calculator-api;76;0
citirex/affiliates;269;1
hashbang/hashbang.sh;118;1
CristinaSolana/wohh;2;0
zabawaba99/docker-gradle;49;1
brenninc/r-base;123;1
jlmonteagudo/sop;2;0
zachlatta/docker-java;93;1
dudanogueira/microerp;143;0
minimum-hsu/docker-openfalcon-portal;86;1
rdhyee/gitenberg_readability;161;0
webdizz/docker-oracle-xe-11g-sa;42;1
sapcc/sap-cookbook-docs;43;0
qualiboo/docker-testing-gemini;192;1
molejs/mole-dashboard;0;0
ngocquang/docker-apache-php-logentries;47;0
soumentrivedi/docker-uptime;62;1
Dockerlover/docker-kityminder;1;0
Chialab/docker-php;374;1
kennethzfeng/dockerize-python;139;1
yxeri/finalstage-site;278;1
rubicks/soctree;58;1
pauldavidgilligan-msm/docker-centos6-ejbca-service;45;0
gnue/dockerfile-epubcheck;35;1
joshuacox/docker-ansible;110;1
pkimber/fabric;110;0
sanger-pathogens/gubbins;21;0
HouseOfAgile/docker-wordpress-multilang;43;0
temancl/rsyncdl;50;1
RyanRatcliff/docker_zookeeper;55;1
inkton/nest-twig-php-dev;1564;0
johnafogarty4/docker-ttrss;71;1
bhoggard/mongo-docker;57;1
grahamgilbert/macadmins-postgres;39;1
KALRONG/trivial;40;1
icewind1991/owncloud-dev;76;1
anexia-it/drowncheck;16;0
jcmosqued/quatroparedes2;4;0
CityNewbie/CityLifestyle;684;1
RickyCook/paas-in-a-day-dockci;236;1
DataToKnowledge/wheretolive.it;22;1
mouthzipper/mziprGoals;90;0
pataquets/docker-solr;55;1
MagRelo/weatherbot;250;1
stackhub/service-nginx-lb;14;1
openstack/shaker;137;1
synopsisdevs/docker-postgresql;39;1
MarvAmBass/docker-elasticsearch;60;1
Wenzel/docker-owncloud;51;0
benjamin-heasly/pbrt-v2-spectral-docker;217;1
billt2006/docker-btsync;24;1
richavyas/ng2-material2-app;154;1
kurron/docker-nomad;41;1
timmyboy21/petesequipmentrepair;142;1
zerodivide1/docker-ghost-techno;66;1
yhpark/dockerfile-pintos-kaist;269;0
fpco/wai-middleware-crowd;16;0
Kagiu/netblender-docker;31;0
davidsblom/FOAM-FSI;60;1
zyfdegh/hiupdate;5;0
hmlio/vaas-cve-2015-5477;35;1
CodeLoversAt/docker-gitlab-ci-runner-mup;265;1
czchen/debian-docker-compose;78;0
joelarmstrong/cactusBenchmarks;2285;1
adipuscasu/angt1;3;0
BarryLiCMU/YPrimeWebsite;2;0
lhhunghimself/fastBMA;1000;1
nukr/mtg-redux;163;1
mattlo/assets-to-pdf;53;0
ishmaelchibvuri/splayweb.io;105;1
thecatwasnot/lotus-bootstrap;112;1
flxel/plex;44;1
Sonelli/android-telnet;112;1
niranjan22/boilerplate;2;0
sajohnstone/AstroJS;671;1
jeefy/drowned;41;1
craigderington/studentloan5;282;1
keboola/php-db-import;82;0
makinacorpus/convertit;177;1
Solinea/docker-python;48;1
jodem/N3_dockerfile;69;1
admwx7/portfolio;443;1
InQuicker/ktmpl;0;0
aviadhahami/ISCA-IDC;2;0
jpetazzo/dind;99;1
nicr9/daftpunk;28;0
gutsal-arsen/ibank;44;0
nildev/api-host;2;0
mekanix/docker-postgres;32;1
ggtools/jenkins-swarm-slave-compass;240;1
almapp/uc-maps;93;1
PaulPetring/audiobook-feeds;62;0
openam/calibrephp;39;1
tarunbhardwaj/my-docker;189;1
kurron/docker-php-storm;78;0
jamtur01/docker-puppetmaster;78;1
Eraldo/eraldoenergy;316;1
angr/angr-dev;668;1
viliusl/docker-oracle-jdk6u26;12;0
jwodder/gforth-docker;160;1
transifex/txgh;65;0
mavam/vast;2476;1
andresriancho/django-uwsgi-nginx-ssh-fat;228;0
xdevops/ibm-containers-emulator;55;0
ainoya/docker-apache-mod_mruby;147;0
bitpay/bitcore;88;0
shiphitchcock3/sample_python;190;1
jjokom/inventory_app;34;1
Jastrzebowski/docker-webpack;55;1
mike42/word-puzzles;67;1
paulodiovani/men-starter-kit;1;0
NeowayLabs/neosearch-import;56;0
bardlehel/topics;7;0
dtan4/multihost-coreos-es-cluster;30;1
adriagalin/docker-jenkins-jnlp-slave;83;1
justintime/docker-airsonos;226;1
BioVerto/BioVerto;2;0
webwurst/docker-go-cron;12;1
torchbox/wagtailapidemo;374;1
bartockbat/CrunchyDataRHEL7;18;0
sunnybhanot/docker-node-aerospike;115;1
nrapopor/docker-backuppc;308;1
pio-labs/small-scope;2;0
etkirsch/tolmea;524;1
abn/docker-consul;562;0
prodest/api-detran;44;1
nkhumphreys/django_docker_template;33;0
helderco/docker-nodejs-bower-grunt;77;0
abaez/docker-luarocks;24;1
die-net/deployer;120;1
nicksardo/triggers;4;0
smithmicro/swift;125;1
tracon/kompassi-atlasso;107;1
joshuacox/OctoRancherServer;75;1
apergos/docker-ssh;59;0
keichan34/premailer-api;219;1
MrToy/sheyin;56;1
bhcleek/champ;89;1
tehsphinx/docker_pycharm_python;2;0
chgu82837/dotSetting;2;0
spinnaker/rush;249;1
ennweb/docker-openstack-network;219;1
rwood-moz/raptor-docker-runner;268;0
pwntr/beets-alpine-docker;48;1
airtoxin/gae-mvm-custom-runtime-sample;69;1
aryan000/app4heroku;532;1
olarentis/mean;409;1
timchunght/ghost-on-docker;89;1
cmubick/mtg-game-tracker;2;0
clickberry/nsqd-ecs;7;1
francklemoine/httpd;24;1
zemogle/starinabox;70;1
ninjasphere/influxproxy;38;1
lcsbaroni/docker-memcached;45;1
findmypast/haar;100;1
CodeforLeipzig/lvz-viz;32;0
exegete46/jekyll-base;88;1
crazyfacka/redis-nom;0;0
Daniel-Hoerauf/trigon_site;97;1
mattymo/fuel-docker-nailgun;21;0
ruphin/mech;28;1
Xe/clop.science;47;1
abandon-ship/betterbookmarker-service;102;1
mvndaai/smog;53;1
AntonioPozo/IV-OpenOrder-stadistics;15;0
freedomjs/freedom-for-firefox;257;1
Saltside/thrift_server-ruby;54;1
RioBus/bus-stop-provider;39;1
damonpetta/etag_file_integrity_monitor;26;1
imrehg/somastream;13;0
kmiya/vsp-infra;16;0
patrickod/riemann-dash-docker;20;0
desertbit/turtle-lets-chat;168;0
drmaize/ThermoAlign;191;1
kasured/akka-cluster-bin;293;0
clickberry/profiles-service-nodejs;78;1
Tallisado/ci_portal;439;1
atamahjoubfar/docker-quickstart-cheatsheet;92;1
joow/docker-jenkins;88;1
heroku/docker-jruby;129;1
TransactCharlie/nuitka-docker-example;0;1
olegfedoseev/mail-bouncer;6;0
camunda-ci/camunda-docker-ci-windows;0;0
prat0318/gitator;43;0
dit4c/dockerfile-nghttpx;14;1
qwertmax/app1;40;1
eabdullin/maxent_model;126;1
withlovee/instamarket-meanjs;424;1
nlamirault/aneto;153;1
frenchpress/mysterio;156;0
underhilllabs/drupal7-dockerfile;193;0
nicopaez/alfred-webapp-docker;117;0
cdiener/rater;829;0
greenelab/continuous_analysis;628;0
Hoverbear/scoop-queryengine;41;1
cikl/docker-cikl-mongodb;65;1
yunojuno/docker-dev;22;0
julienroussel/test-binder-r;293;0
yappabe/docker-woosh-app;14;1
jfmoy/android-dropbear;116;1
dockerizedrupal/docker-data;3;1
venizeng/lifeix-football-app-node;48;1
NikolayH86/bimba;1;0
janrotter/boot2docker-automounter;56;1
jy4618272/docker-base;5;1
dockU/skydns;34;0
cazoc/cazoc;299;0
BobbyKostadinov/blodejs;291;0
Docurated/concourse-vault-resource;14;1
rsbohn/skynet-docker;2;0
ndarwincorn/docker-demo;19;1
matthewbentley/counter-db-presence;78;1
dit4c/dockerfile-dit4c-container-ijulia;95;0
stlemme/atlas-docker;816;0
Ideabile/mf-ng-bespoke;16;0
blankoworld/docker-folding-at-home;11;0
octoblu/meshblu-rpc-controller;70;1
tjlage/bennedetto;225;1
amancevice/fishshell;10;1
CivicTechFR/DemocracyOSFR;2;0
ara-ta3/my-server-puppets;28;1
mterron/consul-betterscratch;8;0
alexanderkiel/hap-todo;58;1
zblogcn/zblogphp-docker;61;1
newsdev/github-keys;61;1
abn/gobgp-docker;180;0
feroj21/mean-shop;487;1
marchandd/term_ssh_wine_winmerge;100;0
jtabone16/lisztfm;2;0
containership/containership.cloud.loadbalancer;137;1
rlucioni/rotations;155;1
mohamnag/bamboo-server;216;1
hissohathair/data-market;100;1
dockU/oidentd;51;0
ita2014-docker/joad-console;198;0
clawio/service.localstore.meta;88;1
noncepool/m7magi-cpuminer-v2;30;0
vgheri/testGateway;0;0
nodecg/nodecg;143;1
dial-once/docker-drill;46;1
siimeon/Kipa;59;1
bankofse/auth-user;55;0
olivetree123/redash-x;264;0
codebreaker01/meanjs-dd-briefcase;1;0
yep/swift-build;204;0
dwoll/dvhr;124;1
matthewpatterson/thatmattpattis.at;76;1
drubb/docker-drupal-lamp53;287;1
brunosereu/Desafio_pagar.me;22;1
romanlp/meanapp;2;0
denderello/dev-container;98;0
ertrzyiks/ruby-on-docker;292;1
drone-plugins/drone-hipchat;8;0
acockburn/appdaemon;54;1
zooniverse/docker-logcollect;34;1
cortizqgithub/dockerautomationbuild;18;1
jbregman/dockermake;12;1
a60814billy/docker-php-apache;105;1
tdtds/tdiarynet;55;0
wolfsoft/dbpager;450;1
ONEdotTWO/middleman-gui;69;1
arecker/bennedetto;227;1
alissonmbr/xy-inc;79;1
yilaisu/phonebuzz;2;0
ericdahl/project-euler;193;1
misspast/pyspider;99;0
webdizz/docker-gatling;74;1
