hmlio/vaas-cve-2015-5477;37;1
CodeLoversAt/docker-gitlab-ci-runner-mup;275;1
czchen/debian-docker-compose;78;0
joelarmstrong/cactusBenchmarks;2256;1
adipuscasu/angt1;2;0
BarryLiCMU/YPrimeWebsite;2;0
lhhunghimself/fastBMA;892;1
nukr/mtg-redux;160;1
mattlo/assets-to-pdf;54;0
ishmaelchibvuri/splayweb.io;96;1
thecatwasnot/lotus-bootstrap;111;1
flxel/plex;45;1
Sonelli/android-telnet;122;1
niranjan22/boilerplate;3;0
sajohnstone/AstroJS;660;1
jeefy/drowned;46;1
craigderington/studentloan5;280;1
keboola/php-db-import;91;0
makinacorpus/convertit;193;1
Solinea/docker-python;48;1
jodem/N3_dockerfile;75;1
admwx7/portfolio;435;1
InQuicker/ktmpl;1;0
aviadhahami/ISCA-IDC;3;0
jpetazzo/dind;95;1
nicr9/daftpunk;16;0
gutsal-arsen/ibank;57;0
nildev/api-host;4;0
mekanix/docker-postgres;19;1
ggtools/jenkins-swarm-slave-compass;219;1
almapp/uc-maps;87;1
PaulPetring/audiobook-feeds;37;0
openam/calibrephp;32;1
tarunbhardwaj/my-docker;184;1
kurron/docker-php-storm;43;0
jamtur01/docker-puppetmaster;44;1
Eraldo/eraldoenergy;305;1
angr/angr-dev;667;1
viliusl/docker-oracle-jdk6u26;11;0
jwodder/gforth-docker;141;1
transifex/txgh;38;0
mavam/vast;2489;1
andresriancho/django-uwsgi-nginx-ssh-fat;213;0
xdevops/ibm-containers-emulator;47;0
ainoya/docker-apache-mod_mruby;140;0
bitpay/bitcore;84;0
shiphitchcock3/sample_python;131;1
jjokom/inventory_app;26;1
Jastrzebowski/docker-webpack;53;1
mike42/word-puzzles;51;1
paulodiovani/men-starter-kit;2;0
NeowayLabs/neosearch-import;44;0
bardlehel/topics;6;0
dtan4/multihost-coreos-es-cluster;29;1
adriagalin/docker-jenkins-jnlp-slave;59;1
justintime/docker-airsonos;234;1
BioVerto/BioVerto;2;0
webwurst/docker-go-cron;13;1
torchbox/wagtailapidemo;355;1
bartockbat/CrunchyDataRHEL7;17;0
sunnybhanot/docker-node-aerospike;96;1
nrapopor/docker-backuppc;300;1
pio-labs/small-scope;2;0
etkirsch/tolmea;470;1
abn/docker-consul;216;0
prodest/api-detran;46;1
nkhumphreys/django_docker_template;18;0
helderco/docker-nodejs-bower-grunt;47;0
abaez/docker-luarocks;22;1
die-net/deployer;122;1
nicksardo/triggers;6;0
smithmicro/swift;109;1
tracon/kompassi-atlasso;100;1
joshuacox/OctoRancherServer;39;1
apergos/docker-ssh;23;0
keichan34/premailer-api;188;1
MrToy/sheyin;53;1
bhcleek/champ;84;1
tehsphinx/docker_pycharm_python;2;0
chgu82837/dotSetting;2;0
spinnaker/rush;142;1
ennweb/docker-openstack-network;212;1
rwood-moz/raptor-docker-runner;260;0
pwntr/beets-alpine-docker;48;1
airtoxin/gae-mvm-custom-runtime-sample;47;1
aryan000/app4heroku;463;1
olarentis/mean;400;1
timchunght/ghost-on-docker;85;1
cmubick/mtg-game-tracker;1;0
clickberry/nsqd-ecs;10;1
francklemoine/httpd;19;1
zemogle/starinabox;50;1
ninjasphere/influxproxy;36;1
lcsbaroni/docker-memcached;44;1
findmypast/haar;98;1
CodeforLeipzig/lvz-viz;20;0
exegete46/jekyll-base;50;1
crazyfacka/redis-nom;0;0
Daniel-Hoerauf/trigon_site;72;1
mattymo/fuel-docker-nailgun;19;0
ruphin/mech;22;1
Xe/clop.science;45;1
abandon-ship/betterbookmarker-service;75;1
mvndaai/smog;50;1
AntonioPozo/IV-OpenOrder-stadistics;11;0
freedomjs/freedom-for-firefox;236;1
Saltside/thrift_server-ruby;54;1
RioBus/bus-stop-provider;40;1
damonpetta/etag_file_integrity_monitor;26;1
imrehg/somastream;19;0
kmiya/vsp-infra;17;0
patrickod/riemann-dash-docker;19;0
desertbit/turtle-lets-chat;163;0
drmaize/ThermoAlign;191;1
kasured/akka-cluster-bin;279;0
clickberry/profiles-service-nodejs;75;1
Tallisado/ci_portal;428;1
atamahjoubfar/docker-quickstart-cheatsheet;93;1
joow/docker-jenkins;79;1
heroku/docker-jruby;144;1
TransactCharlie/nuitka-docker-example;1;1
olegfedoseev/mail-bouncer;6;0
camunda-ci/camunda-docker-ci-windows;0;0
prat0318/gitator;47;0
dit4c/dockerfile-nghttpx;14;1
qwertmax/app1;44;1
eabdullin/maxent_model;144;1
withlovee/instamarket-meanjs;420;1
nlamirault/aneto;132;1
frenchpress/mysterio;153;0
underhilllabs/drupal7-dockerfile;197;0
nicopaez/alfred-webapp-docker;137;0
cdiener/rater;831;0
greenelab/continuous_analysis;619;0
Hoverbear/scoop-queryengine;40;1
cikl/docker-cikl-mongodb;63;1
yunojuno/docker-dev;22;0
julienroussel/test-binder-r;324;0
yappabe/docker-woosh-app;12;1
jfmoy/android-dropbear;96;1
dockerizedrupal/docker-data;4;1
venizeng/lifeix-football-app-node;50;1
NikolayH86/bimba;1;0
janrotter/boot2docker-automounter;29;1
jy4618272/docker-base;6;1
dockU/skydns;30;0
cazoc/cazoc;295;0
BobbyKostadinov/blodejs;328;0
Docurated/concourse-vault-resource;14;1
rsbohn/skynet-docker;2;0
ndarwincorn/docker-demo;19;1
matthewbentley/counter-db-presence;77;1
dit4c/dockerfile-dit4c-container-ijulia;98;0
stlemme/atlas-docker;809;0
Ideabile/mf-ng-bespoke;16;0
blankoworld/docker-folding-at-home;10;0
octoblu/meshblu-rpc-controller;75;1
tjlage/bennedetto;240;1
amancevice/fishshell;10;1
CivicTechFR/DemocracyOSFR;2;0
ara-ta3/my-server-puppets;33;1
mterron/consul-betterscratch;11;0
alexanderkiel/hap-todo;58;1
zblogcn/zblogphp-docker;64;1
newsdev/github-keys;53;1
abn/gobgp-docker;189;0
feroj21/mean-shop;481;1
